name,player_points,player_field_goals_made,player_field_goals_missed,player_field_goals_att,player_free_throws_made,player_free_throws_missed,player_free_throws_att,player_three_points_made,player_three_points_missed,player_three_points_att,player_rebounds,player_assists,player_steals,player_blocks,player_turnovers,player_pls_min,mojo_value
Aaron Gordon,8500,2475,3597,5195,1051,634,1552,685,1090,1645,3995,1617,465,409,943,491,85.18249999999998
Aaron Holiday,2100,773,1086,1859,272,54,326,282,457,739,516,697,208,64,303,178,19.145000000000007
Aaron Nesmith,1180,411,574,985,167,35,202,191,371,562,521,147,93,53,131,-207,10.167499999999997
Aaron Wiggins,895,342,358,700,121,35,156,90,170,260,388,148,69,25,109,-226,7.942500000000001
AJ Griffin,112,40,52,92,14,1,15,18,25,43,34,13,3,5,8,67,1.1199999999999999
Alec Burks,7521,1845,3490,4385,1255,428,1532,783,1041,1697,2443,1418,484,144,844,-663,60.577500000000015
Aleksej Pokusevski,1107,433,680,1113,88,39,127,153,355,508,689,292,79,123,236,-633,8.467500000000001
Alex Caruso,1957,683,918,1601,333,109,442,258,465,723,836,873,379,133,386,778,26.70250000000001
Alex Len,4453,1068,1657,1994,534,425,809,110,209,315,3432,504,229,564,699,-1457,44.857499999999995
Al Horford,15717,2319,6227,4738,520,567,661,904,1091,1766,9538,3904,930,1400,1717,2643,189.945
Alperen Sengun,1808,694,635,1329,371,149,520,49,127,176,1075,477,129,140,340,-585,17.8325
Amir Coffey,989,334,433,767,185,47,232,136,231,367,303,217,60,22,90,-187,8.58
Andre Drummond,10551,2681,3760,4892,1089,1818,1970,15,91,101,10134,1048,1039,1100,1520,-756,123.27250000000001
Andre Iguodala,15629,925,6559,1998,296,1354,485,1263,637,946,6823,5765,1982,721,2477,3213,189.015
Andrew Nembhard,245,101,101,202,19,7,26,24,32,56,41,108,12,1,33,-113,2.0075000000000003
Andrew Wiggins,12821,3013,5861,6694,1070,884,1583,989,1418,2211,3099,1554,676,467,1295,-195,98.1275
Anfernee Simons,3520,1252,1648,2900,403,68,471,613,962,1575,644,688,126,39,363,-467,26.182500000000005
Anthony Davis,17391,4136,5955,7882,2684,1034,3352,349,628,905,7522,1714,965,1651,1434,937,183.69749999999993
Anthony Edwards,5184,1868,2356,4224,811,236,1047,637,1163,1800,1187,881,328,157,632,22,41.045
Anthony Gill,455,163,141,304,104,31,135,25,55,80,239,72,22,27,44,15,4.945
Austin Reaves,1547,495,507,1002,379,61,440,178,293,471,457,398,72,42,164,341,16.482499999999998
Austin Rivers,6437,1427,3310,3418,461,432,700,856,1099,1702,1561,1596,530,123,784,-572,50.097500000000025
Ayo Dosunmu,1391,569,566,1135,120,41,161,133,257,390,447,475,124,55,210,-306,13.355
Bam Adebayo,7249,2790,2287,5077,1661,535,2196,8,60,68,4164,1664,490,418,1056,778,81.74
Bennedict Mathurin,1301,413,538,951,375,77,452,100,210,310,318,116,48,13,152,-179,8.620000000000001
Ben Simmons,5212,2141,1654,3795,925,661,1586,5,33,38,2776,2669,575,254,1133,1109,65.17000000000003
Blake Griffin,15799,2453,6070,5240,1496,1465,2013,569,987,1482,6646,3297,697,412,1875,2510,147.4675
Boban Marjanovic,1970,568,550,985,315,136,412,10,34,44,1277,171,62,102,231,302,21.155
Bobby Portis,6399,2205,2873,4635,542,204,710,615,913,1476,3964,676,317,202,603,-88,62.85499999999999
Bogdan Bogdanovic,5688,2085,2665,4750,547,122,669,971,1549,2520,1369,1314,406,102,574,-23,50.29250000000001
Bojan Bogdanovic,10959,2780,4469,5969,1482,307,1718,1475,1613,2703,2605,1166,404,53,1174,-129,83.225
Bol Bol,766,308,267,575,104,35,139,46,103,149,447,89,37,102,136,-208,7.465000000000001
Bones Hyland,1439,483,732,1215,212,38,250,261,451,712,335,382,86,37,178,-72,11.857500000000002
Bradley Beal,16499,4197,7113,9054,2052,606,2468,1629,1863,2920,3045,3148,841,311,1821,310,130.22249999999997
Brandon Boston,486,176,271,447,88,22,110,46,94,140,141,71,35,13,44,-83,3.3500000000000005
Brandon Clarke,2706,1137,741,1878,383,163,546,49,122,171,1417,360,175,215,189,147,31.745000000000005
