name,league,position,years_of_experience,price,banked,current_season_banked,future_value
LeBron James,NBA,PG,20.000000,509.028800,481.555000,18.827500,27.473800
Kevin Durant,NBA,PG,15.000000,380.342200,306.690000,16.287500,73.652200
Giannis Antetokounmpo,NBA,PG,10.000000,372.894800,195.360000,18.715000,177.534800
Nikola Jokic,NBA,PG,8.000000,371.468100,170.357500,35.285000,201.110600
Stephen Curry,NBA,PG,14.000000,350.306000,275.940000,18.960000,74.366000
Luka Doncic,NBA,PG,5.000000,347.411000,90.225000,19.847500,257.186000
Jayson Tatum,NBA,PG,6.000000,330.990000,114.132500,26.480000,216.857500
James Harden,NBA,PG,14.000000,327.573100,266.892500,15.975000,60.680600
Chris Paul,NBA,PG,18.000000,309.521400,297.490000,11.350000,12.031400
Victor Wembanyama,NBA,PG,1.000000,292.428500,0.000000,0.000000,292.428500
Devin Booker,NBA,PG,8.000000,288.513300,106.195000,16.205000,182.318300
Anthony Davis,NBA,PG,11.000000,286.417000,183.965000,20.345000,102.452000
Russell Westbrook,NBA,PG,15.000000,273.274400,242.185000,11.177500,31.089400
Joel Embiid,NBA,PG,7.000000,262.475200,117.490000,23.622500,144.985200
Anthony Edwards,NBA,PG,3.000000,260.605000,41.377500,17.665000,219.227500
Damian Lillard,NBA,PG,11.000000,259.585800,180.395000,16.750000,79.190800
Donovan Mitchell,NBA,PG,6.000000,251.095900,92.035000,18.217500,159.060900
Trae Young,NBA,PG,5.000000,248.471800,79.225000,17.332500,169.246800
Shai Gilgeous-Alexander,NBA,PG,5.000000,248.129400,59.577500,19.735000,188.551900
Jimmy Butler,NBA,PG,12.000000,242.604000,168.002500,21.800000,74.601500
Kawhi Leonard,NBA,PG,11.000000,234.292000,174.152500,13.035000,60.139500
Karl-Anthony Towns,NBA,PG,8.000000,232.573400,122.630000,7.137500,109.943400
DeMar DeRozan,NBA,PG,14.000000,228.152800,178.510000,16.427500,49.642800
Paul George,NBA,PG,13.000000,227.059700,169.357500,11.812500,57.702200
Jamal Murray,NBA,PG,6.000000,224.205300,77.875000,21.197500,146.330300
Evan Mobley,NBA,PG,2.000000,223.157400,26.292500,15.297500,196.864900
Kyrie Irving,NBA,PG,12.000000,222.002600,161.125000,15.650000,60.877600
Ja Morant,NBA,PG,4.000000,220.865300,51.992500,15.095000,168.872800
Jrue Holiday,NBA,PG,14.000000,220.837600,159.557500,14.565000,61.280100
Tyrese Haliburton,NBA,PG,3.000000,219.817600,34.002500,13.232500,185.815100
Domantas Sabonis,NBA,PG,7.000000,211.100300,84.877500,20.225000,126.222800
DeAaron Fox,NBA,PG,6.000000,211.034800,66.875000,17.735000,144.159800
Darius Garland,NBA,PG,4.000000,210.718600,39.315000,14.900000,171.403600
Paolo Banchero,NBA,PG,1.000000,210.193100,10.575000,10.575000,199.618100
Jaylen Brown,NBA,PG,7.000000,206.876900,89.860000,18.572500,117.016900
Al Horford,NBA,PG,16.000000,203.924500,189.945000,11.677500,13.979500
Bradley Beal,NBA,PG,11.000000,199.005700,130.222500,9.760000,68.783200
LaMelo Ball,NBA,PG,3.000000,196.985600,29.482500,6.910000,167.503100
Kyle Lowry,NBA,PG,17.000000,196.666000,188.490000,9.707500,8.176000
Klay Thompson,NBA,PG,10.000000,195.943500,158.530000,13.612500,37.413500
Brook Lopez,NBA,PG,15.000000,195.574100,157.940000,15.405000,37.634100
Josh Giddey,NBA,PG,2.000000,189.254500,17.885000,12.080000,171.369500
