name,season,player_points,player_field_goals_made,player_field_goals_missed,player_field_goals_att,player_free_throws_made,player_free_throws_missed,player_free_throws_att,player_three_points_made,player_three_points_missed,player_three_points_att,player_rebounds,player_assists,player_steals,player_blocks,player_turnovers,player_pls_min,mojo_value
Aaron Gordon,2015,243,5,115,8,3,17,7,13,0,1,169,33,21,22,38,-163,2.0075000000000003
Aaron Gordon,2016,719,0,305,0,0,64,0,42,0,0,507,128,59,55,66,-71,7.9475
Aaron Gordon,2017,1019,8,472,20,6,61,11,77,9,10,405,150,65,40,89,-161,8.497499999999999
Aaron Gordon,2018,1022,375,490,865,157,68,225,115,227,342,457,136,59,45,107,-92,8.592500000000001
Aaron Gordon,2019,1322,499,609,1108,195,77,272,129,238,367,610,307,63,57,175,28,12.125
Aaron Gordon,2020,894,335,432,767,151,73,224,73,164,237,475,228,51,39,100,-68,8.41
Aaron Gordon,2021,729,274,324,598,113,61,174,68,131,199,338,181,38,37,111,9,6.705
Aaron Gordon,2022,1178,449,424,873,190,66,256,90,180,270,469,199,43,50,139,304,11.682500000000001
Aaron Gordon,2023,1374,530,426,956,236,147,383,78,141,219,565,255,66,64,118,705,19.215
Aaron Holiday,2019,299,107,160,267,41,9,50,44,85,129,67,87,21,13,41,99,2.7125000000000004
Aaron Holiday,2020,658,245,339,584,77,15,92,91,139,230,161,235,59,16,92,69,6.0975
Aaron Holiday,2021,475,170,266,436,68,15,83,67,115,182,89,123,46,13,66,3,3.6375
Aaron Holiday,2022,421,159,193,352,59,10,69,44,66,110,125,162,45,10,67,-7,4.1225
Aaron Holiday,2023,247,92,128,220,27,5,32,36,52,88,74,90,37,12,37,14,2.5749999999999997
Aaron Nesmith,2021,234,83,113,196,24,6,30,44,78,122,140,24,16,10,25,-15,2.2550000000000003
Aaron Nesmith,2022,208,76,123,199,24,6,30,32,94,126,104,25,22,9,32,19,1.6725000000000003
Aaron Nesmith,2023,738,252,338,590,119,23,142,115,199,314,277,98,55,34,74,-211,6.24
Aaron Wiggins,2022,416,156,181,337,62,23,85,42,96,138,178,68,30,10,54,-235,3.0825000000000005
Aaron Wiggins,2023,479,186,177,363,59,12,71,48,74,122,210,80,39,15,55,9,4.86
AJ Griffin,2023,112,40,52,92,14,1,15,18,25,43,34,13,3,5,8,67,1.12
Alec Burks,2012,451,,225,,,41,,15,,,143,58,29,5,54,-39,2.9325
Alec Burks,2013,451,,225,,,37,,33,,,145,92,35,13,74,99,3.5774999999999997
Alec Burks,2014,1089,373,451,820,275,94,368,50,92,139,257,212,69,14,149,-286,7.494999999999998
Alec Burks,2015,374,16,179,33,13,23,17,26,4,8,114,82,17,5,52,-129,2.4525000000000006
Alec Burks,2016,412,0,197,0,0,35,0,32,0,0,109,63,18,4,51,-10,2.7649999999999992
Alec Burks,2017,283,8,149,20,4,18,4,25,2,5,120,30,18,5,35,0,2.05
Alec Burks,2018,576,200,278,478,120,19,139,56,106,162,216,84,41,9,68,-8,4.63
Alec Burks,2019,561,192,282,474,116,25,141,61,107,168,235,128,39,21,65,-298,4.297499999999999
Alec Burks,2020,1035,337,480,817,242,32,274,119,198,317,297,196,63,20,94,-241,8.200000000000001
Alec Burks,2021,693,234,322,556,115,22,137,110,160,270,252,120,32,14,53,133,6.555000000000001
